Name,Size,Population,Density,Area (sq km),Established Year,Abandoned Year,X Coordinate,Y Coordinate
Heeshao,Town,79907,227,352.0132158590308,1941,,-301.1623493133515,149.88443777952318
Jeele,Town,48052,552,87.05072463768116,1947,,-235.47913277798693,-456.54955707690283
Maitei,City,205907,2556,80.55829420970267,1905,,-46.58969763156449,334.11042664075035
Usuford,Megaopolis,47376264,27196,1742.0305927342256,1957,,-175.71726558467816,268.3135775923722
Neport,Town,52856,858,61.603729603729604,1928,,-357.12840955793735,-360.3696804744937
Onudefto,Town,73512,211,348.3981042654028,1957,,220.72181936019467,181.71036902657477
Lobyuitoi,Town,21032,582,36.13745704467354,1967,,-338.45096424684664,453.4997476535027
Pooye,Town,96932,697,139.0703012912482,1974,,-430.7874815316164,260.6021652572316
Gruicleu,Town,68839,662,103.98640483383686,1885,,-478.9657399929411,53.921522424479804
Etha,Town,18342,940,19.51276595744681,1943,,76.21164972089991,-257.00275760427553
Eneemma,Town,26112,394,66.2741116751269,1938,,-51.38645216686808,-78.11836016559579
Dadale,Metropolis,4965789,7724,642.90380631797,1922,,-14.358874549281552,-286.25270080081833
Ezhe,City,794022,3942,201.4261796042618,1932,,-345.20317472593587,-203.2921745054358
Cairaraoto,Town,6209,834,7.44484412470024,1880,,-80.77508466412752,83.67228929122473
Enocla,Town,71468,418,170.97607655502392,1934,,-234.79958524959864,433.2593779937091
Gaussei,Town,18601,470,39.57659574468085,1884,,389.71270700570915,242.41668398099864
Teeyeton,Town,1464,541,2.7060998151571165,1968,,-338.41802372611386,-58.164488139149455
Othaifigloo,Town,74385,616,120.75487012987013,1949,,249.47761114353932,425.7638225695566
Wastead,Town,97345,454,214.41629955947135,1904,,-340.80215701926875,201.27818813991257
Hiwe,Town,10099,991,10.19071644803229,1905,,-148.85387091724778,9.40567552803742
Bekyaolauroo,Town,69146,751,92.07190412782955,1957,,219.4299991448455,241.95007783947653
Kreideilae,Town,99059,378,262.0608465608466,1948,,69.10525486580934,-93.92483124183713
Iseerei,Town,13240,969,13.663570691434469,1900,,172.795670557167,-275.35933400271176
Iville,Town,95155,913,104.2223439211391,1919,,156.05801111178403,-494.45518186196824
Haho,Megaopolis,49960128,30397,1643.5874592887455,1966,,391.425925810437,112.65232276176289
Thiepoejeajeu,City,184491,1566,117.8103448275862,1889,,-268.73852027181323,193.94981229905227
Lenoi,Town,47105,505,93.27722772277228,1966,,-110.01335193628114,391.641541968512
Rojitoethou,Town,57179,338,169.16863905325442,1929,,-172.64733305826576,-45.300674983517865
Eyuulio,Metropolis,4344717,18749,231.73059896527815,1872,,-26.438939053871934,-385.61055389069344
Tiigouro,Town,83213,448,185.74330357142858,1883,,197.19300249577225,-198.417314512333
Reicsoi,Metropolis,8713146,16588,525.2680250783699,1889,,-64.51285499232296,233.79530401339184
Thotoade,Town,4761,706,6.743626062322946,1911,,-318.16014284230823,-287.880149820261
Oratae,Town,59743,217,275.31336405529953,1881,,-205.76441867950268,-95.59887132207189
Ruureoham,Town,42359,322,131.5496894409938,1965,,35.863965383749814,262.189609484103
Juoford,Town,93801,746,125.73860589812332,1886,,53.35896679860832,197.4173929101944
Epeton,Town,9564,610,15.678688524590164,1932,,-425.91782974436023,129.44570695199832
Kruuville,Town,82057,431,190.38747099767983,1969,,22.57253513021783,-49.48553511124578
Luehegospe,Town,91096,439,207.50797266514806,1903,,287.82802664673136,125.05800716422186
Roadio,Metropolis,8367772,7037,1189.1107005826345,1929,,442.6762407440408,0.4721771179255825
Shahuu,Town,23962,681,35.18649045521292,1936,,151.50948943368633,416.07278792676755
Qoneiburg,Town,53488,978,54.69120654396728,1940,,-463.30286968629133,-411.94020722421146
Neidale,Town,82609,974,84.8141683778234,1933,,125.408742145009,259.990536061017
Neport,Town,2792,765,3.649673202614379,1922,,-406.79079871847745,492.2571393952196
Sujere,Town,10150,482,21.058091286307054,1968,,290.0061820031135,-85.05757644865486
Oyoinaerua,Town,51196,439,116.61958997722095,1969,,-89.22490445042183,-181.82367276620016
Tucoicha,Town,86823,358,242.5223463687151,1879,,-30.50939901526806,469.2036305742172
Duesoicuusnie,Town,40251,229,175.76855895196508,1875,,-175.6253332186978,-443.8807718949931
Ivaumu,Town,61236,461,132.83297180043385,1955,,-490.602568545129,304.6330769751463
Deanemimuu,Town,36976,208,177.76923076923077,1942,,473.6028168279248,410.61695371871053
Heaseathi,Town,12813,502,25.52390438247012,1911,,247.4808649383715,-324.3599295556934
